dt, 1000.0
universe, Universe
G, 6.67E-11
Body Name, Mars
Initial Pos X, -2.471842535143256E8
Initial Pos Y, 8154525.045308748
Initial Pos Z, 6235730.264151237
,
time, x, y, z
999000.0,-2.459959529095485E8,-1.3993525629211722E7,5742468.903138788
1999000.0,-2.4262946312349102E8,-3.601725820643639E7,5198369.062518673
2999000.0,-2.3708518745043197E8,-5.771721026185751E7,4607620.306155185
3999000.0,-2.2937906184998867E8,-7.889027727342568E7,3974869.6222576825
4999000.0,-2.1954364107312807E8,-9.933031537477843E7,3305235.4407465365
5999000.0,-2.0762931813723254E8,-1.1882895034725758E8,2604320.600735825
6999000.0,-1.9370565591386768E8,-1.371766444921255E8,1878222.6650110874
7999000.0,-1.7786279783512428E8,-1.5416407670433572E8,1133539.6127965446
8999000.0,-1.6021290983876887E8,-1.6958389309983605E8,377368.5343388529
9999000.0,-1.4089158742539608E8,-1.832328847187392E8,-382705.47946588363
1.0999E7,-1.2005914017789726E8,-1.949146435796643E8,-1138633.47729607
1.1999E7,-9.790164190127054E7,-2.044427368168965E8,-1881943.3940353016
1.2999E7,-7.463160905398695E7,-2.1164441870305052E8,-2603801.1880905805
1.3999E7,-5.0488145767594256E7,-2.1636486999521866E8,-3295096.11543474
1.4999E7,-2.573637414828831E7,-2.1847191165773526E8,-3946553.479216527
1.5999E7,-665958.7075907086,-2.1786108512271613E8,-4548877.285140566
1.6999E7,2.4411460225321833E7,-2.1446092526928368E8,-5092923.702892093
1.7999E7,4.9166080859174356E7,-2.082381794255216E8,-5569904.01002832
1.8999E7,7.325510227611528E7,-1.9920265357072824E8,-5971612.796213275
1.9999E7,9.632924713855144E7,-1.8741130677571985E8,-6290673.790741515
2.0999E7,1.1804053965252486E8,-1.7297118074863404E8,-6520792.077163167
2.1999E7,1.3805109473328596E8,-1.5604075774023372E8,-6656998.183646053
2.2999E7,1.5604252971157482E8,-1.3682939877098048E8,-6695867.219830627
2.3999E7,1.7172548184656128E8,-1.1559462997856829E8,-6635695.515926982
2.4999E7,1.848486284861906E8,-9.26372120581525E7,-6476618.602847583
2.5999E7,1.9520658429580975E8,-6.829412830531189E7,-6220658.026065079
2.6999E7,2.0264610472980782E8,-4.2929832289749786E7,-5871690.141137083
2.7999E7,2.070701557966E8,-1.692627329520822E7,-5435336.9740455365
2.8999E7,2.0843960040765536E8,9327664.181636993,-4918786.397611063
2.9999E7,2.0677247181845367E8,3.54466311453182E7,-4330555.128718997
3.0999E7,2.021410195654171E8,6.10585623182303E7,-3680212.374136241
3.1999E7,1.946668894856081E8,8.581318201638858E7,-2978083.6807666663
3.2999E7,1.8451491317272907E8,1.0938890759028667E8,-2234953.767353415
3.3999E7,1.7188602781596345E8,1.3149797059193502E8,-1461784.8246190557
3.4999E7,1.5700983474389613E8,1.5188974673796508E8,-669463.5287192098
3.5999E7,1.4013724449525416E8,1.7035242126699963E8,131414.47435789905
3.6999E7,1.2153356084758301E8,1.8671320879631022E8,930718.71027998
3.7999E7,1.014722482816957E8,2.0083739942170972E8,1718916.6095570878
3.8999E7,8.022952552907899E7,2.126265193896707E8,2487167.4806970013
3.9999E7,5.807984131703711E7,2.220158822223662E8,3227382.126810743
4.0999E7,3.529222102195625E7,2.289717745013221E8,3932253.4760816745
4.1999E7,1.2127425334238825E7,2.334884789278192E8,4595263.898627952
4.2999E7,-1.1164167527253967E7,2.3558529301348206E8,5210674.688323651
4.3999E7,-3.434405925634033E7,2.35303659729598E8,5773502.674374977
4.4999E7,-5.7186615385492E7,2.3270448952988636E8,6279488.2455364615
4.5999E7,-7.947963854624364E7,2.2786572263188258E8,6725058.333769069
4.6999E7,-1.0102462529553558E8,2.2088015645526695E8,7107287.190635117
4.7999E7,-1.2163678977312255E8,2.1185354514592308E8,7423857.144381421
4.8999E7,-1.4114492577716938E8,2.009029652857296E8,7673020.970425177
4.9999E7,-1.5939116753272054E8,1.881554332058374E8,7853567.048514331
5.0999E7,-1.7623069911996084E8,1.7374675381706846E8,7964788.111605563
5.1999E7,-1.9153145354393175E8,1.5782057768019778E8,8006454.104193116
5.2999E7,-2.0517383486151516E8,1.4052764143130285E8,7978789.448497806
5.3999E7,-2.1705049058870175E8,1.220251660605995E8,7882454.852061287
5.4999E7,-2.2706615665812257E8,1.0247638745005818E8,7718533.666810365
5.5999E7,-2.3513759330089882E8,8.205019364386602E7,7488522.715505009
5.6999E7,-2.4119362717895263E8,6.092084327999341E7,7194327.425740769
5.7999E7,-2.4517531266970494E8,3.926773924083178E7,6838261.044431283
5.8999E7,-2.4703622316847116E8,1.727523072842435E7,6423047.637861605
5.9999E7,-2.4674288137433764E8,-4867584.479481268,5951828.505422493
