dt, 1000.0
universe, Universe
G, 6.67E-11
Body Name, Moon
Initial Pos X, 1.395568087983253E8
Initial Pos Y, 5.386639327467763E7
Initial Pos Z, -34749.11364024505
,
time, x, y, z
999000.0,1.2498043168347779E8,8.001530380077319E7,27367.134277128713
1999000.0,1.0677927854480144E8,1.031776598279746E8,-36694.004272355945
2999000.0,8.291209007925315E7,1.2259935879926315E8,11991.08433729051
3999000.0,5.6652798791416116E7,1.359881870212429E8,-13661.379967702247
4999000.0,2.764829451163514E7,1.4513517246956778E8,-19182.622609808037
5999000.0,-2773677.589565637,1.469137444102519E8,19609.242206400675
6999000.0,-3.2186064571276587E7,1.4370415560523078E8,-38098.75677161368
7999000.0,-6.1570253477274716E7,1.3399431386969545E8,32338.68338597306
8999000.0,-8.698933209546672E7,1.1863301998865728E8,-26148.192107798557
9999000.0,-1.1000009907505992E8,9.913528834197746E7,13770.72887165216
1.0999E7,-1.2783034559925637E8,7.433147476929617E7,7085.9180440911305
1.1999E7,-1.4048790941653293E8,4.791627927483708E7,-11795.304724042413
1.2999E7,-1.4812755001343915E8,1.830508535449852E7,37941.14267864838
1.3999E7,-1.486966902982738E8,-1.1210355176027E7,-20763.467627560727
1.4999E7,-1.4476288420339498E8,-4.044847659489858E7,43237.28980930087
1.5999E7,-1.3384875967425135E8,-6.864563595012109E7,-8601.351856244857
1.6999E7,-1.1866538744287713E8,-9.310865878770092E7,19510.17331585538
1.7999E7,-9.863381804584983E7,-1.153883096141625E8,20590.70899196529
1.8999E7,-7.446865244144276E7,-1.3191620624474189E8,-12511.141201938077
1.9999E7,-4.847128782302132E7,-1.4445732714249745E8,42615.58728634403
2.0999E7,-1.9287195347720996E7,-1.5116985677095675E8,-28834.162982662805
2.1999E7,9231435.539275035,-1.5196316247270927E8,28992.476847158632
2.2999E7,3.8500131758617334E7,-1.479946395177353E8,-17305.317684965124
2.3999E7,6.580631472102115E7,-1.3721054887378445E8,-11576.468760310372
2.4999E7,9.048422903010195E7,-1.2270699288919191E8,6540.981622042372
2.5999E7,1.1259776536105253E8,-1.0244207099635422E8,-46359.71735825125
2.6999E7,1.2921577408099046E8,-7.895795649364074E7,12771.385269615535
2.7999E7,1.423608635081267E8,-5.2531631926005155E7,-54648.351493773844
2.8999E7,1.4888133591071057E8,-2.338553135440388E7,-9832.746619253146
2.9999E7,1.5037176434345534E8,5425816.404004927,-36452.96343672935
3.0999E7,1.459694844457505E8,3.545181969801589E7,-42183.89839967506
3.1999E7,1.3520483046282443E8,6.2833404918258384E7,-5541.882008908994
3.2999E7,1.2025576536919455E8,8.85259929695607E7,-60726.34377225099
3.3999E7,9.91114001328497E7,1.105570217627666E8,8418.2938940387
3.4999E7,7.526353468992206E7,1.2753733112876822E8,-48028.86089847045
3.5999E7,4.748864294891517E7,1.404577408978458E8,-4877.084531859259
3.6999E7,1.797283207634615E7,1.4625560311963105E8,-2772.927222094304
3.7999E7,-1.1771168867307235E7,1.4737825093205598E8,-23839.473352956826
3.8999E7,-4.211408682696813E7,1.4154430523671362E8,38770.39135082251
3.9999E7,-6.932605714294143E7,1.3016207626233967E8,-21111.278238268027
4.0999E7,-9.503701777032878E7,1.1387061148274007E8,46759.296577673194
4.1999E7,-1.1592870410873269E8,9.189251398160446E7,10901.277546560552
4.2999E7,-1.3243390848889455E8,6.756341726525909E7,29603.597741351732
4.3999E7,-1.4400802605845457E8,3.9149687202147186E7,52116.865544738415
4.4999E7,-1.4883067548504502E8,1.0187869940372353E7,10830.179318753997
4.5999E7,-1.4911275003218037E8,-1.955776685857555E7,73188.70270037554
4.6999E7,-1.4219614936315802E8,-4.8897262249183044E7,7357.092965739031
4.7999E7,-1.3079836721218239E8,-7.537490715405709E7,55821.64703280839
4.8999E7,-1.1397802040725973E8,-1.0032136062543479E8,26729.277086423743
4.9999E7,-9.253895364542986E7,-1.2006461891328858E8,14226.905206381072
5.0999E7,-6.854204528641608E7,-1.3632427902558482E8,49014.24568626014
5.1999E7,-4.062534932783209E7,-1.4705231112796822E8,-22415.461517934582
5.2999E7,-1.2585722580697205E7,-1.52051847031997E8,35676.80192985358
5.3999E7,1.6987199837887384E7,-1.523397719038335E8,-29219.201022065878
5.4999E7,4.545073667439223E7,-1.4566578914999354E8,-9630.551538513853
5.5999E7,7.198187792325148E7,-1.3498439286633253E8,-12518.191265429223
5.6999E7,9.677427909267911E7,-1.1821047703825037E8,-57124.82179929672
5.7999E7,1.1665034988611509E8,-9.755330502546257E7,-7609.340291085695
5.8999E7,1.3355916354264362E8,-7.347528363195792E7,-78825.64847708485
5.9999E7,1.443561463380181E8,-4.574778013786421E7,-27489.460771716513
