dt, 50.0
universe, Universe
G, 6.67E-11
Body Name, Earth
Initial Pos X, 1.392249254417041E8
Initial Pos Y, 5.364591584781469E7
Initial Pos Z, -2404.13046965003
,
time, x, y, z, magnitude
0.0,1.392243659507596E8,5.364729954412552E7,-2404.2135915304298,1.4920273733597654E8
50000.0,1.3865795806583828E8,5.502831437016497E7,-2490.2798719106245,1.4917823139992967E8
100000.0,1.380777598931175E8,5.6403883174507074E7,-2582.0041911036014,1.4915383273966375E8
150000.0,1.3748381639959502E8,5.777387329173994E7,-2678.9743617653367,1.4912954172163367E8
200000.0,1.3687617302364033E8,5.913815180595618E7,-2780.6792739195857,1.4910535787943378E8
250000.0,1.362548757280221E8,6.04965854321824E7,-2886.5114844079453,1.490812799010796E8
300000.0,1.3561997106962943E8,6.1849040398260504E7,-2995.7713363904927,1.4905730562467384E8
350000.0,1.3497150628675476E8,6.319538232830894E7,-3107.6727048755256,1.490334320432642E8
400000.0,1.3430952940533528E8,6.453547612889581E7,-3221.3505106970674,1.4900965532019395E8
450000.0,1.3363408936630164E8,6.586918587944679E7,-3335.87021446716,1.4898597081708682E8
500000.0,1.3294523617690119E8,6.719637472934695E7,-3450.2395814736933,1.489623731376585E8
550000.0,1.3224302108937679E8,6.851690480574577E7,-3563.423077377766,1.4893885619173717E8
600000.0,1.3152749681030768E8,6.983063713826327E7,-3674.3592832172667,1.4891541328493235E8
650000.0,1.3079871774285682E8,7.113743160943289E7,-3781.981669698575,1.4889203723996004E8
700000.0,1.3005674026178297E8,7.243714694241533E7,-3885.2429054454083,1.4886872055530357E8
750000.0,1.2930162301707119E8,7.372964073970047E7,-3983.142558753926,1.4884545560519984E8
800000.0,1.2853342725646679E8,7.501476958722827E7,-4074.757575681987,1.488222348814922E8
850000.0,1.2775221715055534E8,7.629238923672976E7,-4159.2743065683735,1.4879905127261695E8
900000.0,1.2695806009741333E8,7.756235487421457E7,-4236.020191037538,1.4877589836823666E8
950000.0,1.261510269789206E8,7.882452147425996E7,-4304.492638928619,1.4875277077087027E8
1000000.0,1.2533119233944884E8,8.007874422868288E7,-4364.382338992574,1.4872966438985386E8
1050000.0,1.2449863446136822E8,8.132487902622187E7,-4415.5883532636935,1.4870657669004562E8
1100000.0,1.236534353210677E8,8.256278294964036E7,-4458.222996767447,1.486835068693453E8
1150000.0,1.2279568042282371E8,8.379231475108796E7,-4492.605605984609,1.486604559458673E8
1200000.0,1.2192545852316618E8,8.5013335267512E7,-4519.245661859308,1.4863742674647692E8
1250000.0,1.2104286127195047E8,8.622570774563523E7,-4538.817052760545,1.486144238011143E8
1300000.0,1.2014798280500214E8,8.742929805872758E7,-4552.126240533269,1.4859145315890402E8
1350000.0,1.1924091932544018E8,8.862397481205213E7,-4560.077534616932,1.4856852215007624E8
1400000.0,1.1832176870676795E8,8.98096093471374E7,-4563.638552962657,1.4854563912081066E8
1450000.0,1.1739063014242871E8,9.098607566450068E7,-4563.80837193456,1.4852281316650006E8
1500000.0,1.1644760385625112E8,9.215325028905311E7,-4561.590043809816,1.4850005388385338E8
1550000.0,1.1549279087837453E8,9.33110121025614E7,-4557.968299569723,1.4847737115552452E8
1600000.0,1.1452629288339522E8,9.445924216441129E7,-4553.89251385261,1.4845477497415182E8
1650000.0,1.135482120822879E8,9.559782353701557E7,-4550.264470311455,1.4843227530696788E8
1700000.0,1.1255865115701978E8,9.672664112687875E7,-4547.930143393369,1.4840988199799678E8
1750000.0,1.115577132261565E8,9.784558154742363E7,-4547.674576321847,1.4838760470229393E8
1800000.0,1.1054550183053069E8,9.895453300572859E7,-4550.218934852394,1.4836545284549966E8
1850000.0,1.095221209295793E8,1.0005338521235886E8,-4556.218901412576,1.4834343560173196E8
1900000.0,1.084876749008048E8,1.0114202931150092E8,-4566.263703248968,1.483215618832339E8
1950000.0,1.0744226853669748E8,1.0222035782736115E8,-4580.875212785898,1.482998403358884E8
2000000.0,1.0638600703521723E8,1.0328826462212472E8,-4600.506702127702,1.482782793355521E8
2050000.0,1.0531899598151343E8,1.0434564486049291E8,-4625.540969213885,1.482568869810161E8
2100000.0,1.0424134131999686E8,1.0539239497580117E8,-4656.2876791415365,1.4823567108023757E8
2150000.0,1.0315314931715345E8,1.0642841263293678E8,-4692.979882112356,1.4821463912730643E8
2200000.0,1.0205452651669227E8,1.0745359668365467E8,-4735.769781440971,1.4819379826844066E8
2250000.0,1.0094557968970534E8,1.0846784711046258E8,-4784.723932035872,1.481731552561493E8
2300000.0,9.982641578350103E7,1.094710649560557E8,-4839.818150396234,1.4815271639162487E8
2350000.0,9.869714187361456E7,1.104631522362804E8,-4900.932507309875,1.481324874563821E8
2400000.0,9.755786512408754E7,1.1144401183588164E8,-4967.8468472860295,1.481124736351577E8
2450000.0,9.64086927613831E7,1.1241354738770208E8,-5040.237325803466,1.4809267943301553E8
