dt, 500.0
universe, Universe
G, 6.67E-11
Body Name, Mars
Initial Pos X, -2.471842535143256E8
Initial Pos Y, 8154525.045308748
Initial Pos Z, 6235730.264151237
,
time, x, y, z, magnitude
0.0,-2.4718420157522273E8,8143452.6260708235,6235496.971990377,2.4739690125695008E8
500000.0,-2.4686093980663463E8,-2933854.5145881916,5995445.279365878,2.4695116211232036E8
1000000.0,-2.459942373533095E8,-1.4004679860958703E7,5742195.681148667,2.4645946660715818E8
1500000.0,-2.4458275662692794E8,-2.50444648038665E7,5476229.976037284,2.4592262838398913E8
2000000.0,-2.426260708980834E8,-3.6028394313873105E7,5198057.6845880905,2.453415482138523E8
2500000.0,-2.4012469255466944E8,-4.693140957665186E7,4908216.477755993,2.4471721592139462E8
3000000.0,-2.370801037056254E8,-5.772822275951817E7,4607272.618321129,2.4405071242883554E8
3500000.0,-2.334947890790466E8,-6.839333425074908E7,4295821.406791768,2.4334321190154904E8
4000000.0,-2.2937227113768452E8,-7.890105273158318E7,3974487.622353583,2.4259598397515112E8
4500000.0,-2.2471714730460545E8,-8.922551845913813E7,3643925.948309015,2.4181039604065517E8
5000000.0,-2.19535129157012E8,-9.934073015642178E7,3304821.370221283,2.409879155606895E8
5500000.0,-2.1383308340621042E8,-1.0922057592255399E8,2957889.533640982,2.4013011238567093E8
6000000.0,-2.0761907443621597E8,-1.1883886859156793E8,2603877.046857057,2.3923866103443667E8
6500000.0,-2.0090240812188852E8,-1.2816938598082322E8,2243561.7125835484,2.3831534289892724E8
7000000.0,-1.9369367658959517E8,-1.371859164791802E8,1877752.6708807063,2.3736204832727638E8
7500000.0,-1.860048035188141E8,-1.458623104294371E8,1507290.433934479,2.3638077853399658E8
8000000.0,-1.778490895117329E8,-1.5417253775780883E8,1133046.7916031,2.3537364727995217E8
8500000.0,-1.692412569797583E8,-1.620907522938686E8,755924.564918506,2.34342882258516E8
9000000.0,-1.6019749391119203E8,-1.6959136320570615E8,376857.1830445922,2.3329082611781493E8
9500000.0,-1.5073549579365435E8,-1.7664911394521448E8,-3191.9424052618756,2.3221993704240093E8
1.0E7,-1.4087450486900407E8,-1.8323916905533633E8,-383230.27323765046,2.3113278881114966E8
1.05E7,-1.3063534579875125E8,-1.8933720913274643E8,-762237.2595060348,2.300320702419044E8
