dt, 10.0
universe, Universe
G, 6.67E-11
Body Name, Moon
Initial Pos X, 1.395568087983253E8
Initial Pos Y, 5.386639327467763E7
Initial Pos Z, -34749.11364024505
,
time, x, y, z, magnitude
0.0,1.3955669121226272E8,5.386667808450186E7,-34748.785900380775,1.495917453519823E8
10000.0,1.3943872541227594E8,5.4151311197587885E7,-34410.911849948694,1.4958450398730797E8
20000.0,1.393200032779838E8,5.4435586935673766E7,-34052.910044645694,1.4957706240600327E8
30000.0,1.3920052848164004E8,5.471949888933902E7,-33674.970626095055,1.4956942141451207E8
40000.0,1.39080304829938E8,5.5003040713132925E7,-33277.296636014966,1.4956158192081782E8
50000.0,1.3895933626327926E8,5.528620612889806E7,-32860.104011302115,1.4955354493506518E8
60000.0,1.388376268549717E8,5.5568988929105826E7,-32423.62157231481,1.4954531157015482E8
70000.0,1.3871518081034443E8,5.585138298019901E7,-31968.09100427705,1.4953688304229915E8
80000.0,1.385920024657862E8,5.613338222594264E7,-31493.76683173176,1.495282606715453E8
90000.0,1.3846809628770834E8,5.641498069078183E7,-31000.91638597918,1.49519445882267E8
100000.0,1.3834346687142152E8,5.669617248320002E7,-30489.819765441396,1.4951044020361248E8
110000.0,1.3821811893993923E8,5.697695179908422E7,-29960.769788897083,1.4950124526992434E8
120000.0,1.380920573426981E8,5.725731292508567E7,-29414.071941536335,1.4949186282111755E8
130000.0,1.379652870542012E8,5.753725024198496E7,-28850.044313787777,1.494822947030249E8
140000.0,1.3783781317257625E8,5.7816758228050746E7,-28269.017532870817,1.4947254286769947E8
150000.0,1.3770964091806114E8,5.809583146239818E7,-27671.334687028317,1.4946260937368742E8
160000.0,1.375807756314018E8,5.837446462834199E7,-27057.351242392397,1.4945249638625622E8
170000.0,1.3745122277217066E8,5.8652652516742505E7,-26427.434952435626,1.4944220617758542E8
180000.0,1.3732098791701126E8,5.8930390029348016E7,-25781.96575995753,1.4943174112692654E8
190000.0,1.3719007675778696E8,5.920767218212649E7,-25121.335691549873,1.494211037207099E8
200000.0,1.370584950996607E8,5.948449410859057E7,-24445.94874448067,1.494102965526241E8
210000.0,1.369262488590839E8,5.9760851063112676E7,-23756.220765930175,1.493993223236482E8
220000.0,1.3679334406170803E8,6.003673842422998E7,-23052.57932450298,1.493881838420484E8
230000.0,1.3665978684020644E8,6.031215169793779E7,-22335.463573931404,1.4937688402332756E8
240000.0,1.3652558343201134E8,6.0587086520972624E7,-21605.324108875964,1.493654258901334E8
250000.0,1.3639074017697084E8,6.0861538664080955E7,-20862.622812716178,1.4935381257212827E8
260000.0,1.3625526351491082E8,6.113550403527671E7,-20107.832697211485,1.4934204730580756E8
270000.0,1.361191599831109E8,6.140897868308235E7,-19341.437733900988,1.4933013343427446E8
280000.0,1.359824362136923E8,6.168195879975818E7,-18563.93267709152,1.493180744069704E8
290000.0,1.358450989309102E8,6.195444072451178E7,-17775.822878272647,1.493058737793517E8
300000.0,1.3570715494835338E8,6.222642094669596E7,-16977.62409177695,1.4929353521251854E8
310000.0,1.3556861116604838E8,6.249789610898418E7,-16169.862271487835,1.4928106247279003E8
320000.0,1.354294745674631E8,6.276886301052935E7,-15353.073358379688,1.4926845943122277E8
330000.0,1.3528975221641323E8,6.303931861010229E7,-14527.80305865646,1.492557300630751E8
340000.0,1.3514945125386205E8,6.330926002920879E7,-13694.606612235379,1.4924287844720852E8
350000.0,1.350085788946164E8,6.357868455518104E7,-12854.048551305163,1.492299087654269E8
360000.0,1.348671424239112E8,6.3847589644245796E7,-12006.702448667425,1.4921682530174828E8
370000.0,1.3472514919388235E8,6.411597292456413E7,-11153.15065555304,1.4920363244160667E8
380000.0,1.345826066199278E8,6.4383832199241534E7,-10293.984028585914,1.4919033467098475E8
390000.0,1.3443952217694178E8,6.4651165449303724E7,-9429.801645550077,1.4917693657546002E8
400000.0,1.3429590339543504E8,6.491797083663871E7,-8561.21050959809,1.49163442839179E8
410000.0,1.3415175785752033E8,6.518424670689672E7,-7688.8252415249735,1.4914985824373543E8
420000.0,1.340070931927761E8,6.5449991592348844E7,-6813.267759716173,1.4913618766696608E8
430000.0,1.3386191707397094E8,6.571520421469734E7,-5935.16694736686,1.4912243608164486E8
440000.0,1.337162372126507E8,6.597988348783288E7,-5055.158306558906,1.4910860855407542E8
450000.0,1.335700613545862E8,6.6244028520535246E7,-4173.883598773866,1.490947102425794E8
460000.0,1.3342339727507345E8,6.650763861910947E7,-3291.9904714150002,1.4908074639586878E8
470000.0,1.3327625277408691E8,6.6770713289953195E7,-2410.13206990857,1.4906672235130206E8
480000.0,1.3312863567127657E8,6.703325224204821E7,-1528.9666349555923,1.490526435330125E8
490000.0,1.3298055380081181E8,6.729525538936634E7,-649.1570845092646,1.490385154499066E8
500000.0,1.3283201500606294E8,6.75567228531837E7,228.62941993810296,1.4902434369352236E8
510000.0,1.3268302713412483E8,6.781765496429837E7,1103.7219231624363,1.4901013393574858E8
520000.0,1.3253359803016612E8,6.807805226513387E7,1975.4461424959818,1.4899589192638278E8
530000.0,1.323837355316207E8,6.833791551172595E7,2843.124950960296,1.4898162349054077E8
540000.0,1.322334474622031E8,6.859724567558119E7,3706.078877580769,1.4896733452589628E8
550000.0,1.3208274162575468E8,6.88560439453928E7,4563.626625185947,1.489530309997498E8
560000.0,1.3193162579991706E8,6.911431172860557E7,5415.085605955758,1.4893871894591868E8
570000.0,1.3178010772963469E8,6.937205065281738E7,6259.772494937229,1.489244044614446E8
580000.0,1.3162819512048388E8,6.962926256700344E7,7097.003801694196,1.489100937031078E8
590000.0,1.3147589563183051E8,6.988594954255076E7,7926.096460198646,1.488957928837445E8
600000.0,1.313232168698233E8,7.014211387409039E7,8746.368437005976,1.4888150826836577E8
610000.0,1.3117016638021593E8,7.039775808010934E7,9557.139357683263,1.4886724617006266E8
620000.0,1.3101675164103113E8,7.065288490333232E7,10357.731151380038,1.4885301294570345E8
630000.0,1.3086298005506696E8,7.090749731085771E7,11147.468713343169,1.4883881499141347E8
640000.0,1.307088589422527E8,7.11615984940279E7,11925.680585084581,1.4882465873783416E8
650000.0,1.3055439553186008E8,7.141519186802486E7,12691.699651807472,1.4881055064515895E8
660000.0,1.3039959695458382E8,7.16682810711713E7,13444.863856589513,1.487964971979471E8
670000.0,1.3024447023449224E8,7.192086996392414E7,14184.51693070711,1.4878250489970836E8
680000.0,1.3008902228086808E8,7.217296262754358E7,14910.009139362202,1.4876858026726398E8
690000.0,1.2993325987994884E8,7.242456336242375E7,15620.698041947591,1.4875472982488412E8
700000.0,1.2977718968657671E8,7.267567668606795E7,16315.949265855552,1.487409600981982E8
710000.0,1.2962081821578176E8,7.292630733069876E7,16995.13729269549,1.4872727760789195E8
720000.0,1.2946415183430794E8,7.317646024048048E7,17657.646255650096,1.487136888631838E8
730000.0,1.2930719675210553E8,7.342614056835207E7,18302.87074655224,1.487002003550977E8
740000.0,1.291499590138078E8,7.367535367244641E7,18930.216631125462,1.4868681854953182E8
750000.0,1.2899244449021193E8,7.392410511209653E7,19539.10187068048,1.4867354988013572E8
760000.0,1.2883465886979295E8,7.417240064340886E7,20128.95734841982,1.4866040074100837E8
770000.0,1.2867660765026605E8,7.442024621439797E7,20699.22769835819,1.4864737747922146E8
780000.0,1.285182961302317E8,7.46676479596788E7,21249.372134726294,1.4863448638719168E8
790000.0,1.2835972940092538E8,7.491461219470531E7,21778.865279595633,1.4862173369491035E8
