dt, 10.0
universe, Universe
G, 6.67E-11
Body Name, Earth
Initial Pos X, 1.392249254417041E8
Initial Pos Y, 5.364591584781469E7
Initial Pos Z, -2404.13046965003
,
time, x, y, z, magnitude
0.0,1.392248135432331E8,5.364619258690919E7,-2404.1470955149325,1.492027569818993E8
10000.0,1.3911263688360053E8,5.392282427638822E7,-2420.768144260167,1.491978442354676E8
20000.0,1.3899990466512835E8,5.419924061954985E7,-2437.379525411335,1.491929327635577E8
30000.0,1.3888661728320053E8,5.447544049111933E7,-2453.981171667827,1.491880225859091E8
40000.0,1.387727751355147E8,5.475142276647189E7,-2470.5730157549388,1.4918311372226012E8
50000.0,1.3865837862208095E8,5.5027186321636975E7,-2487.154990424157,1.4917820619234717E8
60000.0,1.3854342814522314E8,5.530273003330307E7,-2503.7270284534557,1.491733000159065E8
70000.0,1.3842792410957497E8,5.557805277882277E7,-2520.2890626475573,1.4916839521267134E8
80000.0,1.383118669220824E8,5.585315343621826E7,-2536.841025838286,1.4916349180237478E8
90000.0,1.3819525699200037E8,5.61280308841847E7,-2553.382850884781,1.4915858980474702E8
100000.0,1.3807809473089278E8,5.6402684002096884E7,-2569.9144706737998,1.491536892395165E8
110000.0,1.3796038055263373E8,5.667711167001234E7,-2586.4358181200478,1.4914879012641108E8
120000.0,1.37842114873403E8,5.695131276867792E7,-2602.9468261664333,1.4914389248515522E8
130000.0,1.3772329811168823E8,5.7225286179533385E7,-2619.447427784343,1.4913899633547205E8
140000.0,1.376039306882824E8,5.7499030784717225E7,-2635.9375559739588,1.491341016970822E8
150000.0,1.374840130262849E8,5.777254546707075E7,-2652.4171437645264,1.4912920858970502E8
160000.0,1.3736354555109748E8,5.804582911014357E7,-2668.886124214654,1.4912431703305593E8
170000.0,1.3724252869042712E8,5.831888059819823E7,-2685.3444304126015,1.4911942704684955E8
180000.0,1.3712096287428167E8,5.85916988162152E7,-2701.7919954765375,1.491145386507965E8
190000.0,1.369988485349713E8,5.886428264989723E7,-2718.228752554902,1.4910965186460522E8
200000.0,1.368761861071074E8,5.9136630985675775E7,-2734.654634826607,1.491047667079823E8
210000.0,1.3675297602760294E8,5.940874271071375E7,-2751.0695755013744,1.490998832006327E8
220000.0,1.3662921873566604E8,5.968061671291213E7,-2767.47350782001,1.490950013622553E8
230000.0,1.3650491467280546E8,5.9952251880913876E7,-2783.8663650547082,1.4909012121254832E8
240000.0,1.363800642828283E8,6.0223647104109496E7,-2800.2480805093096,1.490852427712082E8
250000.0,1.3625466801183528E8,6.0494801272641495E7,-2816.61858751964,1.4908036605792588E8
260000.0,1.361287263082226E8,6.076571327740901E7,-2832.9778194537344,1.4907549109238923E8
270000.0,1.3600223962268314E8,6.1036382010073826E7,-2849.325709712183,1.490706178942854E8
280000.0,1.3587520840820035E8,6.130680636306377E7,-2865.662191728377,1.490657464832954E8
290000.0,1.3574763312005064E8,6.1576985229578875E7,-2881.987198968828,1.490608768790976E8
300000.0,1.3561951421580353E8,6.184691750359589E7,-2898.3006649334607,1.490560091013686E8
310000.0,1.354908521553187E8,6.211660207987236E7,-2914.6025231558688,1.4905114316978097E8
320000.0,1.3536164740074295E8,6.238603785395279E7,-2930.8927072036136,1.4904627910400185E8
330000.0,1.3523190041651273E8,6.2655223722172745E7,-2947.1711506785705,1.4904141692369592E8
340000.0,1.3510161166935226E8,6.292415858166424E7,-2963.4377872171162,1.490365566485245E8
350000.0,1.34970781628271E8,6.319284133035983E7,-2979.692550490492,1.49031698298144E8
360000.0,1.3483941076456398E8,6.346127086699888E7,-2995.9353742050916,1.490268418922076E8
370000.0,1.3470749955181023E8,6.3729446091130875E7,-3012.1661921027103,1.4902198745036402E8
380000.0,1.3457504846587262E8,6.399736590312122E7,-3028.384937960898,1.4901713499225873E8
390000.0,1.344420579848944E8,6.426502920415623E7,-3044.591545593145,1.4901228453753164E8
400000.0,1.3430852858930093E8,6.453243489624734E7,-3060.785948849298,1.490074361058195E8
410000.0,1.3417446076179555E8,6.479958188223721E7,-3076.9680816157397,1.4900258971675327E8
420000.0,1.3403985498736231E8,6.506646906580316E7,-3093.1378778157427,1.489977453899613E8
430000.0,1.3390471175326167E8,6.533309535146298E7,-3109.2952714097623,1.489929031450665E8
440000.0,1.3376903154903011E8,6.5599459644579746E7,-3125.4401963956907,1.4898806300168693E8
450000.0,1.3363281486647941E8,6.586556085136635E7,-3141.572586809153,1.4898322497943613E8
460000.0,1.3349606219969596E8,6.613139787889115E7,-3157.6923767238286,1.489783890979236E8
470000.0,1.3335877404503787E8,6.63969696350816E7,-3173.799500251727,1.4897355537675273E8
480000.0,1.3322095090113539E8,6.666227502873029E7,-3189.893891543446,1.4896872383552268E8
490000.0,1.3308259326888944E8,6.692731296949979E7,-3205.975484788503,1.4896389449382797E8
500000.0,1.3294370165146893E8,6.719208236792676E7,-3222.044214215603,1.4895906737125674E8
510000.0,1.3280427655431177E8,6.74565821354274E7,-3238.1000140929546,1.4895424248739302E8
520000.0,1.3266431848512216E8,6.772081118430236E7,-3254.142818728523,1.4894941986181518E8
530000.0,1.3252382795386946E8,6.798476842774116E7,-3270.172562470359,1.4894459951409587E8
540000.0,1.323828054727873E8,6.82484527798275E7,-3286.1891797068342,1.4893978146380243E8
550000.0,1.3224125155637296E8,6.851186315554467E7,-3302.192604867009,1.489349657304975E8
560000.0,1.3209916672138353E8,6.877499847077897E7,-3318.1827724208556,1.4893015233373618E8
570000.0,1.3195655148683873E8,6.90378576423267E7,-3334.1596168795745,1.4892534129307044E8
580000.0,1.3181340637401551E8,6.930043958789672E7,-3350.1230727958937,1.4892053262804428E8
590000.0,1.3166973190644978E8,6.956274322611748E7,-3366.0730747643624,1.489157263581975E8
600000.0,1.3152552860993221E8,6.982476747654006E7,-3382.009557421606,1.4891092250306213E8
610000.0,1.3138079701250975E8,7.00865112596442E7,-3397.93245544665,1.4890612108216527E8
620000.0,1.3123553764448327E8,7.034797349684343E7,-3413.8417035612106,1.4890132211502853E8
630000.0,1.3108975103840508E8,7.060915311048841E7,-3429.7372365299784,1.488965256211659E8
640000.0,1.3094343772907841E8,7.087004902387372E7,-3445.6189891608788,1.4889173162008557E8
