*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu May  7 09:28:06 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000, -1.782879230367133E-01,  9.670383943083732E-01,  2.151535023610511E-05, -1.720340237624370E-02, -3.189178957018110E-03, -7.864963237701487E-07,
2447893.500000000, A.D. 1990-Jan-02 00:00:00.0000, -1.954619466748602E-01,  9.636984949918515E-01,  2.074448531734995E-05, -1.714371998958373E-02, -3.490391184253423E-03, -7.492719944883803E-07,
2447894.500000000, A.D. 1990-Jan-03 00:00:00.0000, -2.125735301746219E-01,  9.600580941060260E-01,  2.002847570897225E-05, -1.707853967704105E-02, -3.790157559715736E-03, -6.771156549064827E-07,
2447895.500000000, A.D. 1990-Jan-04 00:00:00.0000, -2.296172311208367E-01,  9.561187076280306E-01,  1.940087803680378E-05, -1.700797508729950E-02, -4.088341477651545E-03, -5.731651927347307E-07,
2447896.500000000, A.D. 1990-Jan-05 00:00:00.0000, -2.465877277999343E-01,  9.518819764179804E-01,  1.889094818654682E-05, -1.693215309247871E-02, -4.384830546973238E-03, -4.428810338716863E-07,
2447897.500000000, A.D. 1990-Jan-06 00:00:00.0000, -2.634798294813587E-01,  9.473496398148674E-01,  1.852135490449127E-05, -1.685120759135168E-02, -4.679540830472740E-03, -2.939446425636094E-07,
2447898.500000000, A.D. 1990-Jan-07 00:00:00.0000, -2.802884794868740E-01,  9.425235055621451E-01,  1.830609746621396E-05, -1.676527121903934E-02, -4.972419768969331E-03, -1.359360431695689E-07,
2447899.500000000, A.D. 1990-Jan-08 00:00:00.0000, -2.970087488795237E-01,  9.374054180344099E-01,  1.824889713185176E-05, -1.667446495547735E-02, -5.263446367153920E-03,  2.030565617166171E-08,
2447900.500000000, A.D. 1990-Jan-09 00:00:00.0000, -3.136358191446302E-01,  9.319972283804551E-01,  1.834240862165595E-05, -1.657888682823560E-02, -5.552626913649225E-03,  1.636799100515902E-07,
2447901.500000000, A.D. 1990-Jan-10 00:00:00.0000, -3.301649541772119E-01,  9.263007716267769E-01,  1.856857229929181E-05, -1.647860235930711E-02, -5.839985329836180E-03,  2.840756072075120E-07,
2447902.500000000, A.D. 1990-Jan-11 00:00:00.0000, -3.465914649615495E-01,  9.203178557509853E-01,  1.890023325425684E-05, -1.637364000576886E-02, -6.125549272878777E-03,  3.735961838837319E-07,
2447903.500000000, A.D. 1990-Jan-12 00:00:00.0000, -3.629106731472930E-01,  9.140502654464426E-01,  1.930382324183163E-05, -1.626399366086699E-02, -6.409335340762888E-03,  4.274044457235679E-07,
2447904.500000000, A.D. 1990-Jan-13 00:00:00.0000, -3.791178805320290E-01,  9.074997793710157E-01,  1.974258659233365E-05, -1.614963162299082E-02, -6.691337543071358E-03,  4.439437150448694E-07,
2447905.500000000, A.D. 1990-Jan-14 00:00:00.0000, -3.952083495182859E-01,  9.006681960162231E-01,  2.017970616776615E-05, -1.603050892559344E-02, -6.971521853418017E-03,  4.245395511967889E-07,
