*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu May  7 09:54:35 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000, -9.763410874139240E-01, -1.201258553556260E+00, -1.141650368654698E-03,  1.138935328944300E-02, -7.628587482304918E-03, -4.399388904559725E-04,
2447893.500000000, A.D. 1990-Jan-02 00:00:00.0000, -9.649129099748182E-01, -1.208839089198067E+00, -1.581537847406919E-03,  1.146688112395114E-02, -7.532343548687946E-03, -4.398301517202017E-04,
2447894.500000000, A.D. 1990-Jan-03 00:00:00.0000, -9.534075676006193E-01, -1.216322960737529E+00, -2.021298863238128E-03,  1.154368156504187E-02, -7.435259882415978E-03, -4.396859435973681E-04,
2447895.500000000, A.D. 1990-Jan-04 00:00:00.0000, -9.418257925085893E-01, -1.223709330180550E+00, -2.460897859399855E-03,  1.161974497354419E-02, -7.337339965966914E-03, -4.395060974622637E-04,
2447896.500000000, A.D. 1990-Jan-05 00:00:00.0000, -9.301683265643856E-01, -1.230997363083188E+00, -2.900299115678310E-03,  1.169506167692323E-02, -7.238587401700869E-03, -4.392904465195700E-04,
2447897.500000000, A.D. 1990-Jan-06 00:00:00.0000, -9.184359213148967E-01, -1.238186228661630E+00, -3.339466749527713E-03,  1.176962197462731E-02, -7.139005915217450E-03, -4.390388281046380E-04,
2447898.500000000, A.D. 1990-Jan-07 00:00:00.0000, -9.066293380188862E-01, -1.245275099903855E+00, -3.778364717887155E-03,  1.184341613900000E-02, -7.038599348839157E-03, -4.387510831909548E-04,
2447899.500000000, A.D. 1990-Jan-08 00:00:00.0000, -8.947493476761921E-01, -1.252263153684079E+00, -4.216956819281675E-03,  1.191643441757398E-02, -6.937371653514346E-03, -4.384270564480073E-04,
2447900.500000000, A.D. 1990-Jan-09 00:00:00.0000, -8.827967310566195E-01, -1.259149570879497E+00, -4.655206695559929E-03,  1.198866703522544E-02, -6.835326886142393E-03, -4.380665963352256E-04,
2447901.500000000, A.D. 1990-Jan-10 00:00:00.0000, -8.707722787284508E-01, -1.265933536487970E+00, -5.093077833221562E-03,  1.206010418917583E-02, -6.732469214974699E-03, -4.376695520403285E-04,
2447902.500000000, A.D. 1990-Jan-11 00:00:00.0000, -8.586767910853308E-01, -1.272614239746586E+00, -5.530533564905260E-03,  1.213073604073638E-02, -6.628802930702641E-03, -4.372357694042387E-04,
