*******************************************************************************
 Revised: July 31, 2013              Mercury                            199 / 1

 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.78        Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =   +-0.91        Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu May  7 09:53:09 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000,  1.637134454256562E-01,  2.636856341542259E-01,  6.505844804976821E-03, -2.950848718482920E-02,  1.597159649442673E-02,  4.013687087956744E-03,
2447893.500000000, A.D. 1990-Jan-02 00:00:00.0000,  1.334404371180437E-01,  2.783203528679217E-01,  1.048053352053651E-02, -3.099106433277110E-02,  1.326649070302991E-02,  3.928863788945838E-03,
2447894.500000000, A.D. 1990-Jan-03 00:00:00.0000,  1.018293248507480E-01,  2.901625163006930E-01,  1.434999222176021E-02, -3.217985696266286E-02,  1.039330281005958E-02,  3.803339634222144E-03,
2447895.500000000, A.D. 1990-Jan-04 00:00:00.0000,  6.918712477258585E-02,  2.990654818850598E-01,  1.807405632158025E-02, -3.304973683048398E-02,  7.395837391483242E-03,  3.638385321940702E-03,
2447896.500000000, A.D. 1990-Jan-05 00:00:00.0000,  3.584174428812323E-02,  3.049288478830422E-01,  2.161441991646722E-02, -3.358426096753693E-02,  4.322417274787806E-03,  3.436437986817120E-03,
2447897.500000000, A.D. 1990-Jan-06 00:00:00.0000,  2.132773002837810E-03,  3.077018506553086E-01,  2.493575875560367E-02, -3.377660521280076E-02,  1.223591532061629E-03,  3.200999709184828E-03,
2447898.500000000, A.D. 1990-Jan-07 00:00:00.0000, -3.159830348240335E-02,  3.073843625130541E-01,  2.800671022636715E-02, -3.362977426986867E-02, -1.850327762769198E-03,  2.936455614829686E-03,
2447899.500000000, A.D. 1990-Jan-08 00:00:00.0000, -6.501772951720589E-02,  3.040254514384432E-01,  3.080063949114420E-02, -3.315607859811315E-02, -4.851634910566254E-03,  2.647832327975828E-03,
2447900.500000000, A.D. 1990-Jan-09 00:00:00.0000, -9.780825113095028E-02,  2.977197209683997E-01,  3.329614589113521E-02, -3.237597252219292E-02, -7.737265169380896E-03,  2.340525120749711E-03,
2447901.500000000, A.D. 1990-Jan-10 00:00:00.0000, -1.296764767641702E-01,  2.886018594310001E-01,  3.547729355198249E-02, -3.131642790017906E-02, -1.047031927885932E-02,  2.020024080402634E-03,
2447902.500000000, A.D. 1990-Jan-11 00:00:00.0000, -1.603584685086614E-01,  2.768399596699260E-01,  3.733357910812830E-02, -3.000905842491000E-02, -1.302099127199506E-02,  1.691666118447176E-03,
