JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458771.5, A.D. 2019-Oct-15 00:00:00.0000,-2.47E+08,8.15E+06,6.24E+06,1.04E-01,-2.21E+01,-4.67E-01,247397323.7
2458772.5, A.D. 2019-Oct-16 00:00:00.0000,-2.47E+08,6.24E+06,6.20E+06,2.91E-01,-2.22E+01,-4.71E-01,
2458773.5, A.D. 2019-Oct-17 00:00:00.0000,-2.47E+08,4.33E+06,6.15E+06,4.79E-01,-2.22E+01,-4.76E-01,
2458774.5, A.D. 2019-Oct-18 00:00:00.0000,-2.47E+08,2.41E+06,6.11E+06,6.66E-01,-2.22E+01,-4.81E-01,
2458775.5, A.D. 2019-Oct-19 00:00:00.0000,-2.47E+08,4.98E+05,6.07E+06,8.54E-01,-2.22E+01,-4.85E-01,
2458776.5, A.D. 2019-Oct-20 00:00:00.0000,-2.47E+08,-1.42E+06,6.03E+06,1.04E+00,-2.22E+01,-4.90E-01,
2458777.5, A.D. 2019-Oct-21 00:00:00.0000,-2.47E+08,-3.33E+06,5.99E+06,1.23E+00,-2.22E+01,-4.94E-01,
2458778.5, A.D. 2019-Oct-22 00:00:00.0000,-2.47E+08,-5.24E+06,5.94E+06,1.42E+00,-2.22E+01,-4.99E-01,
2458779.5, A.D. 2019-Oct-23 00:00:00.0000,-2.47E+08,-7.16E+06,5.90E+06,1.61E+00,-2.21E+01,-5.03E-01,
2458780.5, A.D. 2019-Oct-24 00:00:00.0000,-2.46E+08,-9.07E+06,5.86E+06,1.79E+00,-2.21E+01,-5.08E-01,
2458781.5, A.D. 2019-Oct-25 00:00:00.0000,-2.46E+08,-1.10E+07,5.81E+06,1.98E+00,-2.21E+01,-5.12E-01,
2458782.5, A.D. 2019-Oct-26 00:00:00.0000,-2.46E+08,-1.29E+07,5.77E+06,2.17E+00,-2.21E+01,-5.17E-01,
2458783.5, A.D. 2019-Oct-27 00:00:00.0000,-2.46E+08,-1.48E+07,5.72E+06,2.36E+00,-2.21E+01,-5.21E-01,
2458784.5, A.D. 2019-Oct-28 00:00:00.0000,-2.46E+08,-1.67E+07,5.68E+06,2.55E+00,-2.21E+01,-5.26E-01,
2458785.5, A.D. 2019-Oct-29 00:00:00.0000,-2.45E+08,-1.86E+07,5.63E+06,2.74E+00,-2.21E+01,-5.30E-01,
2458786.5, A.D. 2019-Oct-30 00:00:00.0000,-2.45E+08,-2.05E+07,5.59E+06,2.92E+00,-2.21E+01,-5.34E-01,
2458787.5, A.D. 2019-Oct-31 00:00:00.0000,-2.45E+08,-2.24E+07,5.54E+06,3.11E+00,-2.21E+01,-5.39E-01,
2458788.5, A.D. 2019-Nov-01 00:00:00.0000,-2.45E+08,-2.43E+07,5.49E+06,3.30E+00,-2.20E+01,-5.43E-01,
2458789.5, A.D. 2019-Nov-02 00:00:00.0000,-2.44E+08,-2.62E+07,5.45E+06,3.49E+00,-2.20E+01,-5.47E-01,
2458790.5, A.D. 2019-Nov-03 00:00:00.0000,-2.44E+08,-2.82E+07,5.40E+06,3.68E+00,-2.20E+01,-5.51E-01,
2458791.5, A.D. 2019-Nov-04 00:00:00.0000,-2.44E+08,-3.01E+07,5.35E+06,3.87E+00,-2.20E+01,-5.55E-01,
2458792.5, A.D. 2019-Nov-05 00:00:00.0000,-2.43E+08,-3.19E+07,5.30E+06,4.06E+00,-2.20E+01,-5.60E-01,
2458793.5, A.D. 2019-Nov-06 00:00:00.0000,-2.43E+08,-3.38E+07,5.25E+06,4.24E+00,-2.19E+01,-5.64E-01,
2458794.5, A.D. 2019-Nov-07 00:00:00.0000,-2.43E+08,-3.57E+07,5.21E+06,4.43E+00,-2.19E+01,-5.68E-01,
2458795.5, A.D. 2019-Nov-08 00:00:00.0000,-2.42E+08,-3.76E+07,5.16E+06,4.62E+00,-2.19E+01,-5.72E-01,
2458796.5, A.D. 2019-Nov-09 00:00:00.0000,-2.42E+08,-3.95E+07,5.11E+06,4.81E+00,-2.18E+01,-5.76E-01,
2458797.5, A.D. 2019-Nov-10 00:00:00.0000,-2.41E+08,-4.14E+07,5.06E+06,5.00E+00,-2.18E+01,-5.80E-01,
2458798.5, A.D. 2019-Nov-11 00:00:00.0000,-2.41E+08,-4.33E+07,5.01E+06,5.19E+00,-2.18E+01,-5.84E-01,
2458799.5, A.D. 2019-Nov-12 00:00:00.0000,-2.41E+08,-4.52E+07,4.96E+06,5.37E+00,-2.17E+01,-5.87E-01,
2458800.5, A.D. 2019-Nov-13 00:00:00.0000,-2.40E+08,-4.70E+07,4.91E+06,5.56E+00,-2.17E+01,-5.91E-01,
2458801.5, A.D. 2019-Nov-14 00:00:00.0000,-2.40E+08,-4.89E+07,4.85E+06,5.75E+00,-2.17E+01,-5.95E-01,
