*******************************************************************************
Ephemeris / WWW_USER Mon Dec  9 18:22:53 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Oct-15 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jul-11 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458771.500000000, A.D. 2019-Oct-15 00:00:00.0000, -2.471842535143256E+08,  8.154525045308748E+06,  6.235730264151237E+06,  1.038441986927667E-01, -2.214476145739698E+01, -4.665844760734998E-01,
2458772.500000000, A.D. 2019-Oct-16 00:00:00.0000, -2.471671926809298E+08,  6.240971877125532E+06,  6.195213747045025E+06,  2.911081940462914E-01, -2.215020998794903E+01, -4.712934234025852E-01,
2458773.500000000, A.D. 2019-Oct-17 00:00:00.0000, -2.471339456919256E+08,  4.327010413705675E+06,  6.154291525368678E+06,  4.785222608378695E-01, -2.215421229974733E+01, -4.759757515683045E-01,
2458774.500000000, A.D. 2019-Oct-18 00:00:00.0000, -2.470844999689223E+08,  2.412765729503803E+06,  6.112965911909327E+06,  6.660774460799078E-01, -2.215676555375087E+01, -4.806311736387521E-01,
2458775.500000000, A.D. 2019-Oct-19 00:00:00.0000, -2.470188437074316E+08,  4.983631431515201E+05,  6.071239243576195E+06,  8.537647489124548E-01, -2.215786694203907E+01, -4.852593999907207E-01,
2458776.500000000, A.D. 2019-Oct-20 00:00:00.0000, -2.469369658804086E+08, -1.416071784122273E+06,  6.029113881417707E+06,  1.041575140733421E+00, -2.215751367811083E+01, -4.898601473660378E-01,
2458777.500000000, A.D. 2019-Oct-21 00:00:00.0000, -2.468388562419674E+08, -3.330413250003507E+06,  5.986592210698463E+06,  1.229499570077389E+00, -2.215570299031482E+01, -4.944331410645528E-01,
2458778.500000000, A.D. 2019-Oct-22 00:00:00.0000, -2.467245053311505E+08, -5.244535212431910E+06,  5.943676640990313E+06,  1.417528950929748E+00, -2.215243211956959E+01, -4.989781096960666E-01,
2458779.500000000, A.D. 2019-Oct-23 00:00:00.0000, -2.465939044756338E+08, -7.158311390930725E+06,  5.900369606210543E+06,  1.605654147332779E+00, -2.214769831287980E+01, -5.034947777258427E-01,
2458780.500000000, A.D. 2019-Oct-24 00:00:00.0000, -2.464470457954707E+08, -9.071615268130297E+06,  5.856673564636588E+06,  1.793865964279189E+00, -2.214149881941594E+01, -5.079828609766803E-01,
