*******************************************************************************
 Revised: July 31, 2013              Mercury                            199 / 1

 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.78        Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =   +-0.91        Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 05:21:32 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Oct-15 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jul-11 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458771.500000000, A.D. 2019-Oct-15 00:00:00.0000,  1.564289375509536E-01, -4.166945356939462E-01, -4.839997005344446E-02,  2.070262515927732E-02,  1.130910504500523E-02, -9.750502872926120E-04,  2.585774479488914E-03,  4.477129724295331E-01, -3.186774341634972E-03,
2458772.500000000, A.D. 2019-Oct-16 00:00:00.0000,  1.768603472319389E-01, -4.046998901915309E-01, -4.929412167187900E-02,  2.014677656035199E-02,  1.267860624539270E-02, -8.121511627577203E-04,  2.566641217077330E-03,  4.444001507374195E-01, -3.437960982811971E-03,
2458773.500000000, A.D. 2019-Oct-17 00:00:00.0000,  1.966952323854986E-01, -3.913410229265816E-01, -5.002207415119795E-02,  1.950914783441337E-02,  1.403699515132284E-02, -6.426579440577086E-04,  2.546073690665320E-03,  4.408389939317942E-01, -3.683314347008226E-03,
2458774.500000000, A.D. 2019-Oct-18 00:00:00.0000,  2.158505025932305E-01, -3.766307749729385E-01, -5.057725446399123E-02,  1.878709353925158E-02,  1.538074370472365E-02, -4.666162450026457E-04,  2.524107932873243E-03,  4.370357408674738E-01, -3.922007995259047E-03,
2458775.500000000, A.D. 2019-Oct-19 00:00:00.0000,  2.342403508844600E-01, -3.605857371356438E-01, -5.095314678717931E-02,  1.797782973281643E-02,  1.670587012782214E-02, -2.840960493844311E-04,  2.500785025189201E-03,  4.329975045836251E-01, -4.153118073510353E-03,
2458776.500000000, A.D. 2019-Oct-20 00:00:00.0000,  2.517761277536411E-01, -3.432267357935433E-01, -5.114332064517104E-02,  1.707846043097967E-02,  1.800787366858976E-02, -9.519947032269107E-05,  2.476151694754362E-03,  4.287323756339418E-01, -4.375611342009987E-03,
2458777.500000000, A.D. 2019-Oct-21 00:00:00.0000,  2.683662462602620E-01, -3.245793870420403E-01, -5.114146748548774E-02,  1.608601368371347E-02,  1.928166324411550E-02,  9.993010941323688E-05,  2.450260982650322E-03,  4.242495377970132E-01, -4.588332399573306E-03,
2458778.500000000, A.D. 2019-Oct-22 00:00:00.0000,  2.839161290093585E-01, -3.046747252225396E-01, -5.094144717478237E-02,  1.499748970374472E-02,  2.052148006531941E-02,  3.010972996328298E-04,  2.423172988020736E-03,  4.195593969169918E-01, -4.789990226574357E-03,
