*******************************************************************************
 Revised: July 31, 2013                 Venus                           299 / 2
 
 PHYSICAL DATA (updated 2019-Apr-22):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.018484 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759        2650        2614
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Dec 10 06:47:44 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Oct-15 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jul-11 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458771.500000000, A.D. 2019-Oct-15 00:00:00.0000, -5.333719138796312E+07, -9.440125006317101E+07,  1.782632502988413E+06,  3.024937275869480E+01, -1.738443133044124E+01, -1.984147955621422E+00,
2458772.500000000, A.D. 2019-Oct-16 00:00:00.0000, -5.070327075245220E+07, -9.586641072087692E+07,  1.610532037483983E+06,  3.071702482253195E+01, -1.652920504497447E+01, -1.999399923651273E+00,
2458773.500000000, A.D. 2019-Oct-17 00:00:00.0000, -4.802998328743219E+07, -9.725714016086918E+07,  1.437181125174232E+06,  3.116058763148285E+01, -1.566159937049043E+01, -2.013091897456668E+00,
2458774.500000000, A.D. 2019-Oct-18 00:00:00.0000, -4.531942411194789E+07, -9.857239817891985E+07,  1.262714943274558E+06,  3.157974475270264E+01, -1.478229557013966E+01, -2.025214964645170E+00,
2458775.500000000, A.D. 2019-Oct-19 00:00:00.0000, -4.257371485755336E+07, -9.981120375769122E+07,  1.087269386819564E+06,  3.197419892788397E+01, -1.389198235788949E+01, -2.035761421593948E+00,
2458776.500000000, A.D. 2019-Oct-20 00:00:00.0000, -3.979500200553831E+07, -1.009726356872062E+08,  9.109809641933069E+05,  3.234367221182497E+01, -1.299135535955499E+01, -2.044724774051652E+00,
2458777.500000000, A.D. 2019-Oct-21 00:00:00.0000, -3.698545521282402E+07, -1.020558331387386E+08,  7.339866926444843E+05,  3.268790609617381E+01, -1.208111657359887E+01, -2.052099736881888E+00,
2458778.500000000, A.D. 2019-Oct-22 00:00:00.0000, -3.414726562780137E+07, -1.030599961921209E+08,  5.564239938603938E+05,  3.300666161853381E+01, -1.116197383208567E+01, -2.057882232964233E+00,
2458779.500000000, A.D. 2019-Oct-23 00:00:00.0000, -3.128264419736784E+07, -1.039843863164978E+08,  3.784305896715745E+05,  3.329971945712014E+01, -1.023464026216033E+01, -2.062069391268883E+00,
2458780.500000000, A.D. 2019-Oct-24 00:00:00.0000, -2.839381996640324E+07, -1.048283268045879E+08,  2.001443979580849E+05,  3.356688001116604E+01, -9.299833748406035E+00, -2.064659544121248E+00,
2458781.500000000, A.D. 2019-Oct-25 00:00:00.0000, -2.548303837090653E+07, -1.055912031605428E+08,  2.170342882626504E+04,  3.380796346728452E+01, -8.358276396421445E+00, -2.065652223673013E+00,
