*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue May  5 03:40:35 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Oct-15 00:00:00.0000 TDB
Stop  time      : A.D. 2149-Oct-15 00:00:00.0000 TDB
Step-size       : 138240 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2458771.500000000, A.D. 2019-Oct-15 00:00:00.0000,      69.182329,  9.306611437063996E-01,  3.586007982385989E-01, -1.607061957767578E-05, -6.462680824485085E-03,  1.598307427983112E-02, -9.602272062776374E-07,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000,      69.184423, -4.630648886111231E-01,  8.680284452068704E-01, -4.084789886703027E-05, -1.546535553135791E-02, -8.157957987925736E-03,  8.155974148665949E-07,
2458963.500000000, A.D. 2020-Apr-24 00:00:00.0000,      69.185577, -8.337916655626392E-01, -5.625029610823111E-01,  3.009739958783545E-05,  9.346003266757845E-03, -1.433194301695799E-02,  2.060823046138933E-07,
2459059.500000000, A.D. 2020-Jul-29 00:00:00.0000,      69.183332,  5.977591633188551E-01, -8.207180475889964E-01,  3.506755180551853E-05,  1.362105478321392E-02,  1.006832684975149E-02,  4.531096301713158E-08,
2459155.500000000, A.D. 2020-Nov-02 00:00:00.0000,      69.182498,  7.629656186606487E-01,  6.343542870848631E-01, -3.062562309533992E-05, -1.127394247833161E-02,  1.316040937740802E-02, -1.145080147269653E-06,
2459251.500000000, A.D. 2021-Feb-06 00:00:00.0000,      69.184912, -7.226196450075398E-01,  6.709482432095267E-01, -3.013932201478744E-05, -1.199290375994271E-02, -1.266953222151992E-02,  1.266135758925828E-06,
2459347.500000000, A.D. 2021-May-13 00:00:00.0000,      69.185319, -6.196330879672601E-01, -7.981381468073616E-01,  3.995709337219658E-05,  1.331556327336953E-02, -1.061774747621481E-02, -1.580766073151553E-07,
2459443.500000000, A.D. 2021-Aug-17 00:00:00.0000,      69.182897,  8.194183898178508E-01, -5.946752938051671E-01,  2.565302535523969E-05,  9.818635809735590E-03,  1.386169417141119E-02, -4.385769302447595E-08,
2459539.500000000, A.D. 2021-Nov-21 00:00:00.0000,      69.182824,  5.149200945554225E-01,  8.431229858685102E-01, -4.338375061774166E-05, -1.495586699510328E-02,  8.900619409237531E-03, -9.856385681335503E-07,
2459635.500000000, A.D. 2022-Feb-25 00:00:00.0000,      69.185298, -9.045305113922978E-01,  4.018032909545894E-01, -1.397205127056276E-05, -7.270877138353272E-03, -1.578766356337389E-02,  1.415226207719664E-06,
2459731.500000000, A.D. 2022-Jun-01 00:00:00.0000,      69.184937, -3.433554553762272E-01, -9.540616515813314E-01,  4.795901449155932E-05,  1.591491592330392E-02, -5.891846838087737E-03, -3.044642025995941E-07,
2459827.500000000, A.D. 2022-Sep-05 00:00:00.0000,      69.182574,  9.597007871096576E-01, -3.095246047480638E-01,  1.228247853126397E-05,  4.994215498493184E-03,  1.630868917223661E-02, -3.859602717974511E-07,
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000,      69.183270,  2.119247609300416E-01,  9.618042771608982E-01, -5.330329569552946E-05, -1.707395954150034E-02,  3.637507467003848E-03, -4.636192698565063E-07,
