*******************************************************************************
 Revised: July 31, 2013              Mercury                            199 / 1

 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.78        Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =   +-0.91        Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon May  4 10:13:24 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Oct-15 00:00:00.0000 TDB
Stop  time      : A.D. 2149-Oct-15 00:00:00.0000 TDB
Step-size       : 138240 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458771.500000000, A.D. 2019-Oct-15 00:00:00.0000,  1.564289375509536E-01, -4.166945356939462E-01, -4.839997005344446E-02,  2.070262515927732E-02,  1.130910504500523E-02, -9.750502872926120E-04,
2458867.500000000, A.D. 2020-Jan-19 00:00:00.0000,  2.987572150387802E-01, -2.828742451279319E-01, -5.052134088743600E-02,  1.377136168204916E-02,  2.175736667783721E-02,  5.145750915268992E-04,
2458963.500000000, A.D. 2020-Apr-24 00:00:00.0000,  3.601628335546914E-01, -7.602496912838665E-02, -3.925157794817989E-02,  3.580286931092503E-04,  2.878844207141689E-02,  2.319594339066293E-03,
2459059.500000000, A.D. 2020-Jul-29 00:00:00.0000,  2.884418885119174E-01,  1.536716464432897E-01, -1.390204147914667E-02, -1.871912288971475E-02,  2.606831674191704E-02,  3.847322592245512E-03,
2459155.500000000, A.D. 2020-Nov-02 00:00:00.0000,  7.143386421124870E-02,  2.985582180452167E-01,  1.784413073174396E-02, -3.300210494537095E-02,  7.597858938640077E-03,  3.648194845443325E-03,
2459251.500000000, A.D. 2021-Feb-06 00:00:00.0000, -1.885702766151478E-01,  2.631548246842103E-01,  3.880170982129883E-02, -2.854783229723958E-02, -1.529021804231916E-02,  1.369256206328375E-03,
2459347.500000000, A.D. 2021-May-13 00:00:00.0000, -3.560557547250701E-01,  8.744240858923301E-02,  3.980659401935001E-02, -1.253959706137435E-02, -2.611749327098979E-02, -9.839764619048927E-04,
2459443.500000000, A.D. 2021-Aug-17 00:00:00.0000, -3.928799317620060E-01, -1.257242592830872E-01,  2.576483332796448E-02,  2.743693638947556E-03, -2.558249025831790E-02, -2.342206045020042E-03,
2459539.500000000, A.D. 2021-Nov-21 00:00:00.0000, -3.239754685203602E-01, -3.078349677360501E-01,  4.561830398414937E-03,  1.364779457053005E-02, -1.912045171128879E-02, -2.814360528382235E-03,
2459635.500000000, A.D. 2022-Feb-25 00:00:00.0000, -1.855258809355095E-01, -4.254890660962490E-01, -1.775267885420745E-02,  2.012970183209824E-02, -9.868306558553386E-03, -2.652862309213747E-03,
2459731.500000000, A.D. 2022-Jun-01 00:00:00.0000, -1.167150557572489E-02, -4.627722051968324E-01, -3.674673884879229E-02,  2.248264183205356E-02,  7.318487785097750E-04, -2.002453940547678E-03,
